Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
1,100.0,416.9905,-453.4005,0.9196957215530198,8.56,2.85,5.71,0.4991243432574431,15.9,5.29,41.59637614678899,Noise
2,100.0,416.8795,-451.528,0.923263895040839,8.58,2.86,5.72,0.5,15.84,4.84,41.65387453874539,Noise
3,100.0,416.7285,-454.6035,0.9166856392438686,8.58,2.86,5.72,0.5,15.9,4.84,41.70674311926605,Noise
4,100.0,416.891,-455.223,0.915795115800388,8.57,2.85,5.72,0.4982517482517483,15.97,5.03,41.49708295350957,Noise
5,100.0,416.7565,-455.343,0.915258387633059,8.57,2.86,5.71,0.5008756567425569,15.9,4.9,41.7745871559633,Noise
6,100.0,416.973,-451.923,0.9226638166236284,8.58,2.86,5.72,0.5,15.9,4.84,41.46082568807339,Noise
7,100.0,416.937,-453.6555,0.9190608291974858,8.57,2.86,5.71,0.5008756567425569,15.9,5.42,41.619770642201836,Noise
8,100.0,416.6035,-452.114,0.9214567564817724,8.57,2.86,5.71,0.5008756567425569,15.84,4.84,41.707933579335794,Noise
9,100.0,416.867,-451.4945,0.9233047135679394,8.58,2.86,5.72,0.5,15.9,4.84,41.42151376146789,Noise
10,100.0,416.717,-453.006,0.919892893250862,8.58,2.86,5.72,0.5,15.9,5.1,41.56018348623853,Noise
11,100.0,416.739,-456.6165,0.9126674134640338,8.56,2.85,5.71,0.4991243432574431,16.1,5.29,41.136621621621615,Noise
12,100.0,417.083,-454.672,0.9173272161030369,8.58,2.86,5.72,0.5,16.1,4.84,40.96144144144144,Noise
13,100.0,416.6685,-454.137,0.917495161151811,8.58,2.86,5.72,0.5,16.03,4.84,41.17289211242067,Noise
14,100.0,416.944,-455.0725,0.9162144493459834,8.57,2.85,5.72,0.4982517482517483,15.9,5.1,41.74977064220183,Noise
15,100.0,416.618,-452.8285,0.9200348476299526,8.57,2.86,5.71,0.5008756567425569,15.84,4.84,41.773846863468634,Noise
16,100.0,417.0485,-457.7205,0.911142280059556,8.58,2.86,5.72,0.5,15.97,4.84,41.72474931631723,Noise
17,100.0,416.9655,-450.7435,0.9250615926796505,8.57,2.86,5.71,0.5008756567425569,15.9,5.36,41.35261467889908,Noise
18,100.0,416.601,-453.86,0.9179064028555061,8.57,2.86,5.71,0.5008756567425569,15.9,4.84,41.638532110091745,Noise
19,100.0,416.9305,-452.9585,0.9204607044574723,8.58,2.86,5.72,0.5,15.97,4.84,41.29065633546035,Noise
20,100.0,416.569,-453.513,0.9185381675938729,8.58,2.86,5.72,0.5,15.9,5.03,41.60669724770642,Noise
21,100.0,416.994,-455.999,0.9144625317160784,8.56,2.85,5.71,0.4991243432574431,16.03,5.23,41.34170444242974,Noise
22,100.0,416.9495,-453.9565,0.9184789732055825,8.58,2.86,5.72,0.5,15.97,4.84,41.381631722880584,Noise
23,100.0,416.844,-456.508,0.9131143375362535,8.58,2.86,5.72,0.5,16.1,4.84,41.12684684684684,Noise
24,100.0,416.729,-454.683,0.9165264590934783,8.57,2.85,5.72,0.4982517482517483,16.03,5.03,41.22239347234814,Noise
