Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1,2305.0,402.772225,-387.619,1.0390930914119276,8.8005,3.0805,5.72,0.5385489510489511,1983.62,-58.9,99.99,0.1959037106670305,Noise
2,100.0,375.441,-389.4935,0.9639210923930694,8.58,2.86,5.72,0.5,12.19,-58.98,4.9,54.17155771905424,Normal
3,100.0,375.0755,-385.8475,0.9720822345615818,8.57,2.85,5.72,0.4982517482517483,12.19,-58.41,4.84,53.66446453407511,Normal
4,100.0,375.4275,-394.056,0.9527262622571412,8.57,2.86,5.71,0.5008756567425569,12.19,-57.46,5.03,54.80611961057024,Normal
5,100.0,375.1665,-387.9155,0.9671345950342276,8.57,2.86,5.71,0.5008756567425569,12.06,-54.24,4.97,54.94553824362606,Normal
6,100.0,372.857,-388.9295,0.9586750297933172,8.58,2.86,5.72,0.5,12.0,-56.43,4.97,55.56135714285715,Normal
7,100.0,373.176,-388.6995,0.9600629792423196,8.58,2.86,5.72,0.5,12.0,-57.33,4.9,55.5285,Normal
8,100.0,372.802,-388.405,0.959828014572418,8.57,2.85,5.72,0.4982517482517483,12.0,-56.89,4.9,55.48642857142857,Normal
9,100.0,373.3435,-391.0115,0.9548146282142596,8.57,2.86,5.71,0.5008756567425569,11.93,-57.44,4.97,56.42301587301588,Normal
10,100.0,372.9365,-387.428,0.9625956306720216,8.57,2.86,5.71,0.5008756567425569,11.93,-53.5,4.97,55.90591630591631,Normal
11,100.0,372.6655,-387.655,0.9613328862003586,8.58,2.86,5.72,0.5,11.87,-56.3,4.9,56.42721979621543,Normal
12,100.0,373.052,-387.2905,0.96323560737999,8.58,2.86,5.72,0.5,11.8,-56.32,4.97,56.954485294117646,Normal
13,100.0,876.471,-315.951,2.774072561884596,8.56,3.69,4.87,0.757700205338809,11.48,-49.62,4.84,48.75787037037037,Noise
14,100.0,373.78,-279.9575,1.335131225275265,8.58,2.87,5.71,0.5026269702276708,11.22,-23.25,5.03,45.009244372990345,Bronch
15,100.0,370.7915,-317.5745,1.167573278081206,8.58,2.86,5.72,0.5,12.32,-49.11,4.97,43.38449453551912,Bronch
16,100.0,375.0665,-370.202,1.0131401235001432,8.57,2.85,5.72,0.4982517482517483,11.35,-51.88,4.84,58.29952755905512,Normal
17,100.0,744.077,-306.29,2.4293218844885565,8.57,3.24,5.33,0.6078799249530957,10.83,-43.06,4.97,52.53687821612351,Noise
18,100.0,372.6715,-148.4255,2.510832033579136,8.58,2.86,5.72,0.5,11.54,-32.48,5.03,22.69503058103976,Bronch
19,100.0,376.2235,-260.6655,1.44331911971473,8.57,2.86,5.71,0.5008756567425569,10.44,-32.86,4.38,47.91645220588236,Bronch
20,100.0,370.286,-282.1025,1.312593826711922,8.57,2.86,5.71,0.5008756567425569,11.74,-33.24,4.9,41.8549703264095,Bronch
21,100.0,370.132,-289.8305,1.2770636630720371,8.58,2.86,5.72,0.5,11.22,-42.95,5.03,46.59654340836012,Bronch
22,100.0,378.409,-232.7055,1.626128303800297,8.46,2.86,5.6,0.5107142857142857,8.87,-32.34,2.49,60.13062015503877,Bronch
23,100.0,373.7425,-62.4925,5.980597671720607,8.57,2.86,5.71,0.5008756567425569,7.77,-14.35,2.04,22.560469314079427,Bronch
24,100.0,365.169,-237.49,1.537618426038991,8.58,2.86,5.72,0.5,9.52,-27.81,4.58,52.5420353982301,Bronch
25,100.0,366.717,-336.69,1.089182927915887,8.57,2.86,5.71,0.5008756567425569,10.24,-30.85,5.23,64.25381679389312,Bronch
26,100.0,370.324,-350.0705,1.0578554891086225,8.58,2.86,5.72,0.5,10.05,-30.85,4.71,69.3208910891089,Bronch
27,100.0,370.5425,-166.4465,2.2261958046579533,8.57,2.86,5.71,0.5008756567425569,9.92,-32.37,5.16,33.83058943089431,Bronch
28,100.0,366.5685,-445.3215,0.8231547320306789,8.57,2.86,5.71,0.5008756567425569,9.52,-38.91,5.62,98.5224557522124,Bronch
29,100.0,366.043,-394.9785,0.9267415821367492,8.58,2.86,5.72,0.5,9.13,-36.11,5.1,95.63644067796608,Bronch
30,100.0,366.9685,-393.9315,0.9315540899877264,8.58,2.86,5.72,0.5,9.13,-36.3,5.1,95.38292978208231,Bronch
31,100.0,366.486,-394.3595,0.9293195675519418,8.57,2.85,5.72,0.4982517482517483,9.65,-40.35,5.03,84.80849462365592,Bronch
32,100.0,369.386,-390.842,0.9451031363057196,8.57,2.86,5.71,0.5008756567425569,9.65,-40.16,5.03,84.05204301075268,Bronch
33,100.0,370.2215,-390.994,0.9468725862800964,8.58,2.86,5.72,0.5,9.65,-39.34,5.03,84.0847311827957,Bronch
34,100.0,369.7685,-392.4525,0.9421993744465892,8.57,2.85,5.72,0.4982517482517483,9.65,-40.35,5.03,84.39838709677419,Bronch
35,100.0,370.4655,-390.3225,0.9491266837038604,8.58,2.86,5.72,0.5,9.72,-40.26,5.03,82.69544491525423,Bronch
36,100.0,370.1455,-392.198,0.9437720233147544,8.57,2.85,5.72,0.4982517482517483,9.78,-41.4,5.03,82.04979079497909,Bronch
37,100.0,370.656,-392.047,0.9454376643616708,8.57,2.86,5.71,0.5008756567425569,9.78,-41.65,5.03,82.0182008368201,Bronch
38,100.0,368.3435,-391.8155,0.9400942535453548,8.57,2.86,5.71,0.5008756567425569,9.52,-36.68,5.03,86.68484513274336,Bronch
39,100.0,366.148,-399.5755,0.916342468444637,8.58,2.86,5.72,0.5,9.2,-36.41,5.03,95.13702380952382,Bronch
40,100.0,366.6515,-221.6535,1.6541651722169963,8.58,2.86,5.72,0.5,9.07,-35.52,5.1,54.46031941031941,Bronch
41,100.0,370.4765,-56.0325,6.611814571900236,8.57,2.85,5.72,0.4982517482517483,8.22,-13.11,4.25,17.401397515527947,Bronch
42,100.0,363.1255,-283.524,1.2807575372807944,8.57,2.86,5.71,0.5008756567425569,9.26,-26.7,4.97,66.55492957746479,Bronch
43,100.0,366.3765,-231.8255,1.5803977560708378,8.58,2.86,5.72,0.5,9.85,-29.14,4.97,47.799072164948456,Bronch
44,100.0,370.291,-301.85,1.2267384462481363,8.57,2.85,5.72,0.4982517482517483,10.96,-30.04,5.03,50.645973154362416,Bronch
