Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1,100.0,512.5555,-531.065,0.9651464509994069,8.58,2.86,5.72,0.5,11.93,-53.69,5.03,76.63275613275614,Normal
2,100.0,512.1345,-528.829,0.9684311942045539,8.57,2.85,5.72,0.4982517482517483,11.87,-54.72,4.97,76.97656477438137,Normal
3,100.0,512.936,-541.847,0.9466436097274693,8.57,2.86,5.71,0.5008756567425569,11.8,-54.89,5.03,79.68338235294117,Normal
4,100.0,512.401,-529.697,0.9673473702890519,8.57,2.86,5.71,0.5008756567425569,11.8,-51.71,5.03,77.89661764705882,Normal
5,100.0,511.979,-527.3785,0.9707999093630096,8.58,2.86,5.72,0.5,11.74,-53.23,5.03,78.24606824925816,Normal
6,100.0,512.985,-528.146,0.9712939225138505,8.58,2.86,5.72,0.5,11.8,-52.61,4.97,77.6685294117647,Normal
7,100.0,512.808,-523.993,0.9786542950001239,8.57,2.85,5.72,0.4982517482517483,11.8,-54.21,4.97,77.05779411764706,Normal
8,100.0,512.9775,-529.7305,0.9683744847615909,8.57,2.86,5.71,0.5008756567425569,11.93,-55.76,4.97,76.44018759018759,Normal
9,100.0,512.4555,-538.814,0.9510805212930623,8.57,2.86,5.71,0.5008756567425569,11.8,-54.43,4.97,79.23735294117645,Normal
10,100.0,512.154,-539.774,0.9488304364419182,8.58,2.86,5.72,0.5,11.74,-54.56,4.97,80.08516320474777,Normal
11,100.0,512.996,-532.5505,0.9632814165041623,8.58,2.86,5.72,0.5,11.74,-51.96,5.03,79.01342729970327,Normal
12,100.0,512.69,-532.8105,0.9622370430012172,8.57,2.85,5.72,0.4982517482517483,11.67,-53.75,4.97,79.88163418290856,Normal
13,100.0,512.985,-526.4945,0.9743406626280047,8.57,2.86,5.71,0.5008756567425569,11.67,-52.47,5.03,78.93470764617692,Normal
14,100.0,512.4395,-533.6615,0.9602332189974355,8.57,2.86,5.71,0.5008756567425569,11.67,-52.99,5.03,80.00922038980511,Normal
15,100.0,511.928,-531.6405,0.9629213726192795,8.58,2.86,5.72,0.5,11.61,-53.23,5.03,80.42972768532526,Normal
16,100.0,512.677,-530.909,0.9656588982292634,8.58,2.86,5.72,0.5,11.67,-51.22,5.03,79.59655172413792,Normal
17,100.0,512.254,-535.89,0.955893933456493,8.57,2.85,5.72,0.4982517482517483,11.67,-53.37,4.97,80.34332833583208,Normal
18,100.0,512.9445,-529.1895,0.969302112003356,8.57,2.86,5.71,0.5008756567425569,11.67,-53.88,5.03,79.3387556221889,Normal
19,100.0,512.407,-537.2885,0.953690615004788,8.57,2.86,5.71,0.5008756567425569,11.67,-53.77,5.03,80.55299850074962,Normal
20,100.0,511.909,-534.398,0.9579171329234016,8.58,2.86,5.72,0.5,11.67,-53.31,5.03,80.11964017991005,Normal
21,100.0,512.593,-534.5005,0.9590131346930452,8.58,2.86,5.72,0.5,11.61,-51.41,5.03,80.8624054462935,Normal
22,100.0,512.301,-534.2795,0.9588632915917606,8.57,2.85,5.72,0.4982517482517483,11.67,-53.83,4.97,80.10187406296852,Normal
23,100.0,512.9575,-533.3585,0.9617499299251815,8.57,2.86,5.71,0.5008756567425569,11.67,-52.58,5.03,79.96379310344828,Normal
24,100.0,512.3265,-533.827,0.9597238431177142,8.57,2.86,5.71,0.5008756567425569,11.61,-53.1,4.97,80.7605143721634,Normal
