Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1244,100.0,575.016,-607.7275,0.946174066501845,6.0,2.8,3.2,0.8749999999999999,16.16,-77.4,5.36,54.45586917562724,Assessment
1245,100.0,576.4235,-598.5545,0.963025923286852,6.0,2.81,3.19,0.8808777429467085,16.16,-76.78,5.36,53.63391577060931,Assessment
1246,100.0,576.164,-581.791,0.990328141892879,6.0,2.81,3.19,0.8808777429467085,16.16,-75.07,5.42,52.1318100358423,Assessment
1247,100.0,575.2685,-612.496,0.9392200112327264,6.0,2.81,3.19,0.8808777429467085,16.1,-76.1,5.36,55.17981981981981,Assessment
1248,100.0,575.086,-616.127,0.9333887331670258,6.01,2.81,3.2,0.8781249999999999,16.03,-75.37,5.36,55.85920217588394,Assessment
1249,100.0,574.862,-596.517,0.9636975978890792,6.0,2.8,3.2,0.8749999999999999,15.97,-75.78,5.36,54.3771194165907,Assessment
1250,100.0,576.6245,-610.7595,0.9441105705273516,6.0,2.81,3.19,0.8808777429467085,16.16,-76.65,5.36,54.72755376344086,Assessment
1251,100.0,575.7095,-624.704,0.9215716563364412,6.0,2.81,3.19,0.8808777429467085,16.03,-76.1,5.36,56.6368087035358,Assessment
1252,100.0,574.657,-594.8515,0.9660511909274836,6.0,2.81,3.19,0.8808777429467085,15.9,-75.02,5.16,54.57353211009174,Assessment
1253,100.0,575.047,-608.492,0.9450362535579762,6.01,2.81,3.2,0.8781249999999999,16.1,-76.46,5.36,54.81909909909909,Assessment
1254,100.0,574.978,-610.7335,0.94145482440377,6.0,2.8,3.2,0.8749999999999999,16.16,-77.51,5.36,54.72522401433692,Assessment
1255,100.0,576.1935,-613.498,0.9391937708028388,6.0,2.81,3.19,0.8808777429467085,16.1,-76.78,5.36,55.270090090090086,Assessment
1256,100.0,575.872,-608.974,0.945642999536926,6.0,2.81,3.19,0.8808777429467085,16.03,-76.92,5.36,55.21069809610154,Assessment
1257,100.0,575.481,-612.757,0.9391667496250552,6.0,2.81,3.19,0.8808777429467085,16.1,-77.05,5.36,55.20333333333332,Assessment
1258,100.0,575.353,-622.647,0.9240436394939668,6.01,2.81,3.2,0.8781249999999999,16.03,-75.7,5.36,56.45031731640979,Assessment
1259,100.0,574.119,-641.212,0.895365339388533,6.0,2.8,3.2,0.8749999999999999,16.62,-80.52,5.23,55.18175559380378,Assessment
1260,100.0,576.4715,-589.6745,0.9776096812733128,6.0,2.81,3.19,0.8808777429467085,15.84,-74.34,5.29,54.39801660516605,Assessment
1261,100.0,575.539,-611.169,0.9417018860577026,6.0,2.81,3.19,0.8808777429467085,15.84,-74.88,5.49,56.38090405904059,Assessment
1262,100.0,574.6975,-596.5335,0.9633951823325932,6.0,2.81,3.19,0.8808777429467085,16.03,-76.78,5.36,54.08281958295557,Assessment
1263,100.0,575.1315,-615.5125,0.9343945086411728,6.01,2.81,3.2,0.8781249999999999,16.23,-78.16,5.42,54.80966162065895,Assessment
1264,100.0,574.897,-603.899,0.9519754131071588,6.0,2.8,3.2,0.8749999999999999,15.84,-76.05,5.29,55.71023985239852,Assessment
1265,100.0,576.532,-610.7545,0.9439668475631372,6.0,2.81,3.19,0.8808777429467085,16.03,-77.05,5.36,55.37212148685403,Assessment
1266,100.0,575.852,-606.2615,0.9498409514706112,6.0,2.81,3.19,0.8808777429467085,16.03,-77.05,5.29,54.96477787851314,Assessment
1267,100.0,575.488,-623.5625,0.9229034779993988,6.0,2.81,3.19,0.8808777429467085,16.16,-77.49,5.36,55.874775985663085,Assessment
1268,100.0,574.888,-610.057,0.942351288486158,6.01,2.81,3.2,0.8781249999999999,16.29,-77.95,5.29,54.03516386182463,Assessment
1269,100.0,574.816,-603.631,0.9522638830676358,6.0,2.8,3.2,0.8749999999999999,15.97,-76.27,5.36,55.02561531449407,Assessment
1270,100.0,576.413,-609.1465,0.9462633373088412,6.0,2.81,3.19,0.8808777429467085,16.1,-77.68,5.29,54.87806306306305,Assessment
1271,100.0,575.676,-609.5505,0.9444270819234828,6.0,2.81,3.19,0.8808777429467085,16.16,-78.35,5.36,54.61922043010753,Assessment
1272,100.0,575.342,-613.3945,0.9379640671704752,6.0,2.81,3.19,0.8808777429467085,16.16,-78.49,5.29,54.96366487455197,Assessment
1273,100.0,574.87,-604.155,0.9515273398382866,6.01,2.81,3.2,0.8781249999999999,16.03,-76.81,5.29,54.77379873073436,Assessment
1274,100.0,574.6635,-610.3835,0.9414794141715822,6.0,2.8,3.2,0.8749999999999999,16.16,-78.16,5.36,54.69386200716846,Assessment
1275,100.0,576.441,-610.4715,0.9442553829294242,6.0,2.81,3.19,0.8808777429467085,16.16,-77.76,5.29,54.70174731182796,Assessment
1276,100.0,575.8345,-608.7685,0.9459006173939684,6.0,2.81,3.19,0.8808777429467085,15.97,-76.86,5.29,55.49393801276208,Assessment
1277,100.0,575.5685,-609.0685,0.9449979764180876,6.0,2.81,3.19,0.8808777429467085,15.97,-75.83,5.29,55.52128532360984,Assessment
1278,100.0,575.0745,-608.989,0.944310159953628,6.01,2.81,3.2,0.8781249999999999,15.97,-75.86,5.29,55.514038286235184,Assessment
1279,100.0,574.6485,-612.8335,0.9376910694340308,6.0,2.8,3.2,0.8749999999999999,15.97,-76.73,5.29,55.86449407474931,Assessment
1280,100.0,576.219,-614.0615,0.9383734365368942,6.0,2.81,3.19,0.8808777429467085,15.97,-77.13,5.29,55.97643573381951,Assessment
1281,100.0,575.9865,-608.7185,0.9462280183697392,6.0,2.81,3.19,0.8808777429467085,15.97,-76.92,5.29,55.48938012762078,Assessment
1282,100.0,575.478,-612.288,0.9398812323612415,6.0,2.81,3.19,0.8808777429467085,15.97,-77.32,5.29,55.81476754785779,Assessment
1283,100.0,575.0935,-609.5775,0.9434296705505042,6.01,2.81,3.2,0.8781249999999999,15.97,-76.46,5.29,55.567684594348215,Assessment
1284,100.0,574.9905,-611.4665,0.9403466911106332,6.0,2.8,3.2,0.8749999999999999,15.97,-77.32,5.29,55.73988149498632,Assessment
1285,100.0,576.4495,-614.4675,0.938128542193037,6.0,2.81,3.19,0.8808777429467085,15.97,-76.73,5.29,56.013445761166814,Assessment
1286,100.0,575.933,-605.463,0.9512274077854468,6.0,2.81,3.19,0.8808777429467085,15.9,-76.51,5.16,55.54706422018348,Assessment
1287,100.0,575.4265,-611.8825,0.9404199335656764,6.0,2.81,3.19,0.8808777429467085,16.03,-76.92,5.29,55.47438803263826,Assessment
