Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
1,100.0,359.115,-383.832,0.9356046395297943,8.58,2.81,5.77,0.4870017331022531,10.18,4.77,74.0988416988417,Normal
2,100.0,359.016,-384.0375,0.9348462064251538,8.57,2.8,5.77,0.4852686308492201,10.18,4.84,74.13851351351352,Normal
3,100.0,359.344,-381.0845,0.9429509728157404,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,73.56843629343629,Normal
4,100.0,359.1845,-383.612,0.9363223778192549,8.58,2.81,5.77,0.4870017331022531,10.24,4.77,73.20839694656489,Normal
5,100.0,359.7395,-382.4795,0.9405458331753729,8.57,2.81,5.76,0.48784722222222227,10.18,4.84,73.83774131274131,Normal
6,100.0,359.5105,-383.4665,0.9375277892592964,8.58,2.81,5.77,0.4870017331022531,10.18,4.84,74.02828185328185,Normal
7,100.0,358.7955,-384.265,0.9337189179342381,8.57,2.8,5.77,0.4852686308492201,10.18,4.77,74.18243243243244,Normal
8,100.0,359.3175,-382.438,0.9395444490348762,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,73.82972972972973,Normal
9,100.0,359.3315,-384.628,0.9342312572147634,8.58,2.81,5.77,0.4870017331022531,10.24,4.84,73.40229007633587,Normal
10,100.0,359.8445,-382.3795,0.9410664013107397,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,73.81843629343629,Normal
11,100.0,359.466,-381.2475,0.9428678220840793,8.58,2.81,5.77,0.4870017331022531,10.18,4.77,73.59990347490348,Normal
12,100.0,359.3425,-383.465,0.9370933461984796,8.57,2.8,5.77,0.4852686308492201,10.18,4.77,74.02799227799228,Normal
13,100.0,359.56,-383.2055,0.938295509850459,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,73.97789575289575,Normal
14,100.0,359.329,-384.9785,0.9333742014164428,8.58,2.81,5.77,0.4870017331022531,10.18,4.77,74.32017374517375,Normal
15,100.0,359.471,-381.7355,0.9416755842723561,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,73.69411196911197,Normal
16,100.0,359.461,-383.376,0.9376199866449648,8.58,2.81,5.77,0.4870017331022531,10.24,4.84,73.16335877862595,Normal
17,100.0,359.3455,-385.0125,0.9333346319924678,8.57,2.8,5.77,0.4852686308492201,10.24,4.84,73.4756679389313,Normal
18,100.0,359.423,-381.8215,0.9413377717074601,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,73.71071428571429,Normal
19,100.0,359.5115,-384.588,0.9347964575077745,8.58,2.81,5.77,0.4870017331022531,10.24,4.84,73.39465648854961,Normal
20,100.0,359.5835,-384.101,0.9361691325979365,8.57,2.81,5.76,0.48784722222222227,10.18,4.77,74.15077220077221,Normal
21,100.0,359.1815,-382.824,0.9382418552650827,8.58,2.81,5.77,0.4870017331022531,10.24,4.84,73.05801526717558,Normal
22,100.0,359.0815,-384.3565,0.9342407374403712,8.57,2.8,5.77,0.4852686308492201,10.18,4.84,74.20009652509653,Normal
