Breath_num,P_peak,Dy_comp,Label
1,17.73,44.15310291,Noise
2,17.6,46.23075397,Noise
3,17.21,48.29017199,Noise
4,11.87,79.11244541,Normal
5,12.06,81.05219547,Normal
6,12,81.34035714,Normal
7,12.06,80.92811615,Normal
8,12.19,80.70632823,Normal
9,12.26,81.16976584,Normal
10,12.26,80.04063361,Normal
11,12.32,80.85061475,Normal
12,12.32,80.34036885,Normal
13,12.32,79.90935792,Normal
14,12.32,81.17916667,Normal
15,12.26,81.18230028,Normal
16,12.26,81.73044077,Normal
17,12.26,81.50578512,Normal
18,12.19,27.09840056,Bronch
19,11.28,48.80342357,Bronch
20,10.63,-11.69076377,Bronch
21,12.58,63.33766491,Bronch
22,13.95,56.49603352,Bronch
23,12.26,33.49125344,Bronch
24,10.05,43.40118812,Bronch
25,12,61.79128571,Bronch
26,12.52,57.90332447,Bronch
27,12.52,61.12785904,Bronch
28,11.09,24.31756979,Bronch
29,11.35,56.53480315,Bronch
30,13.04,64.95130597,Bronch
31,13.43,55.75142349,Bronch
32,12.97,37.80294856,Bronch
33,12.13,59.51297335,Bronch
34,10.24,9.108683206,Bronch
35,11.67,34.9065967,Bronch
36,8.68,-20.12961957,Bronch
37,10.89,39.23089983,Bronch
38,12,40.02178571,Bronch
39,10.63,56.65630551,Bronch
40,12.52,62.02732713,Bronch
41,11.87,60.19992722,Bronch
42,12.39,54.15554804,Bronch
43,11.67,63.21829085,Bronch
44,13.3,41.39879518,Bronch
45,13.3,61.87427711,Bronch
46,9.85,12.02773196,Bronch
47,12.32,67.44877049,Bronch
48,12.78,61.75257069,Bronch
49,11.28,68.87770701,Bronch
50,12.58,66.18502639,Bronch
51,12,63.05335714,Bronch
52,12.52,63.37606383,Bronch
53,10.05,25.14178218,Bronch
54,10.57,34.25709156,Bronch
55,8.94,13.74251269,Bronch
56,10.44,-7.320036765,Bronch
57,12.58,67.51246702,Bronch
58,11.02,43.739701,Bronch
59,10.63,9.560213144,Bronch
60,9,39.764625,Bronch
61,12.91,65.91554994,Bronch
62,12.65,58.67058824,Bronch
63,11.28,59.1964172,Bronch
