Breath_num,P_peak,Dy_comp,Label
1,11.54,75.62431193,Normal
2,11.41,82.10920437,Normal
3,11.28,74.97380573,Normal
4,11.61,79.20763994,Normal
5,11.41,72.63432137,Normal
6,11.67,78.39505247,Normal
7,11.41,77.62457098,Normal
8,11.48,72.15787037,Normal
9,11.8,76.87514706,Normal
10,11.54,98.57102446,Normal
11,12.26,65.93353994,Normal
12,11.93,86.65122655,Normal
13,11.48,74.47862654,Normal
14,11.87,70.06048035,Normal
15,12.13,64.60364656,Normal
16,12.39,65.12577808,Normal
17,12.39,69.59560217,Normal
18,12.19,69.08477051,Normal
19,12.13,68.90546985,Normal
20,12.19,68.48609179,Normal
21,12.19,64.23692629,Normal
22,12.52,64.48929521,Normal
23,12.58,63.58997361,Normal
24,12.52,65.77646277,Normal
25,12.39,65.9702977,Normal
26,12.45,65.1857047,Normal
27,12.45,68.87463087,Normal
28,12.26,64.27706612,Normal
29,12.52,64.62573138,Normal
30,12.52,67.95585106,Normal
31,12.32,63.70293716,Normal
32,12.58,67.13172823,Normal
33,12.58,61.15969657,Normal
34,12.91,64.85360303,Normal
35,12.58,65.00817942,Normal
36,12.71,63.60175097,Normal
37,12.71,60.94020752,Normal
38,13.1,63.85660494,Normal
39,12.84,63.14936224,Normal
40,12.84,62.89145408,Normal
41,12.91,62.12762326,Normal
42,12.84,62.19043367,Normal
43,12.58,64.80244063,Normal
44,12.65,60.68006536,Normal
45,12.97,63.92979925,Normal
46,12.71,60.22658885,Normal
47,13.1,63.17425926,Normal
48,12.84,59.40982143,Normal
49,13.17,59.76328029,Normal
50,13.17,62.45905753,Normal
51,13.04,58.14732587,Normal
52,13.37,61.52951016,Normal
53,13.1,58.27549383,Normal
54,13.43,60.83689205,Normal
55,13.24,60.42572816,Normal
56,13.1,60.44209877,Normal
57,13.1,60.85037037,Normal
58,13.04,61.24496269,Normal
59,13.1,60.91098765,Normal
60,13.1,60.28462963,Normal
61,13.24,59.77160194,Normal
62,13.24,59.47445388,Normal
63,13.3,59.46825301,Normal
64,13.37,58.64253286,Normal
65,13.37,58.81654719,Normal
66,13.43,59.10527877,Normal
67,13.37,59.09008363,Normal
68,13.5,57.45858824,Normal
69,13.63,54.42230591,Normal
70,13.95,56.68865922,Normal
71,13.69,56.77146145,Normal
72,13.69,57.16910242,Normal
73,13.69,56.46363636,Normal
74,13.76,53.9033105,Normal
75,14.02,57.34861419,Normal
76,13.69,54.183084,Normal
77,14.08,56.66646476,Normal
78,13.76,56.78396119,Normal
79,13.82,55.75464853,Normal
80,13.82,56.22760771,Normal
81,13.76,53.41055936,Normal
82,14.15,56.25808743,Normal
83,13.95,55.10044693,Normal
84,13.89,55.31867267,Normal
85,13.95,55.33078212,Normal
86,14.02,51.64977827,Normal
87,14.41,54.81647184,Normal
88,14.02,54.92012195,Normal
89,14.02,54.94501109,Normal
90,13.95,54.93977654,Normal
91,14.02,54.66513304,Normal
92,14.02,54.66452328,Normal
93,14.02,54.52156319,Normal
94,14.02,54.79539911,Normal
95,14.02,54.6767184,Normal
96,14.02,54.45532151,Normal
97,14.08,54.39713656,Normal
98,14.21,53.24033659,Normal
99,14.28,53.20700431,Normal
100,14.28,52.77435345,Normal
101,14.34,53.0004818,Normal
102,14.34,52.70583512,Normal
103,14.34,52.63634904,Normal
104,14.28,53.61099138,Normal
105,14.15,53.49409836,Normal
106,14.28,50.73324353,Normal
107,14.6,53.7484375,Normal
108,14.34,53.29368308,Normal
109,14.28,53.05043103,Normal
110,14.28,51.07106681,Normal
111,14.67,53.47998966,Normal
112,14.47,52.99535375,Normal
113,14.41,52.84048884,Normal
114,14.34,53.05331906,Normal
115,14.28,53.08647629,Normal
116,14.28,50.62715517,Normal
117,14.6,53.7878125,Normal
118,14.28,53.96982759,Normal
119,14.21,54.03925081,Normal
120,14.21,53.96178067,Normal
121,14.28,53.38184267,Normal
122,14.21,51.20673181,Normal
123,14.6,53.49192708,Normal
124,14.34,53.56868308,Normal
125,14.34,52.84025696,Normal
126,14.41,49.75765143,Normal
127,14.73,52.79779034,Normal
128,14.47,52.87634636,Normal
129,14.34,53.02591006,Normal
130,14.34,52.80952891,Normal
131,14.54,49.37709644,Normal
132,14.86,49.61866126,Normal
133,14.86,52.75055781,Normal
134,14.28,53.99493534,Normal
135,14.21,53.68490771,Normal
136,14.28,50.6674569,Normal
137,14.6,51.13755208,Normal
138,14.6,53.79583333,Normal
139,14.28,53.96998922,Normal
140,14.21,53.71628664,Normal
141,14.28,50.85425647,Normal
142,14.67,50.88257497,Normal
143,14.73,52.79994861,Normal
144,14.47,52.89271383,Normal
145,14.34,52.73945396,Normal
146,14.47,52.52787751,Normal
147,14.34,50.68008565,Normal
148,14.8,52.29734694,Normal
149,14.47,52.85168955,Normal
150,14.41,52.51439957,Normal
151,14.47,52.16187962,Normal
152,14.41,52.18650372,Normal
153,14.34,53.15835118,Normal
154,14.28,53.4078125,Normal
155,14.34,52.57789079,Normal
156,14.34,52.79507495,Normal
157,14.34,50.98345824,Normal
158,14.67,52.33578077,Normal
159,14.6,51.7875,Normal
160,14.47,52.51932418,Normal
161,14.47,52.20538543,Normal
162,14.54,49.72641509,Normal
163,14.8,50.06178571,Normal
164,14.8,52.52780612,Normal
165,14.47,50.58394931,Normal
166,14.73,50.1676259,Normal
167,14.8,52.63423469,Normal
168,14.47,50.29941922,Normal
169,14.73,52.69748201,Normal
170,14.54,51.8663522,Normal
171,14.54,52.28165618,Normal
172,14.54,49.61069182,Normal
173,14.86,52.02292089,Normal
