Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
349,100.0,538.551,-577.051,0.9332814603908494,8.58,2.81,5.77,0.4870017331022531,12.0,4.9,82.43585714285715,Normal
350,100.0,538.821,-578.0515,0.9321332095842672,8.57,2.81,5.76,0.4878472222222222,12.0,4.9,82.57878571428571,Normal
351,100.0,538.508,-575.7,0.9353969081118638,8.58,2.81,5.77,0.4870017331022531,12.0,4.9,82.24285714285715,Normal
352,100.0,538.6355,-576.499,0.9343216553714748,8.57,2.8,5.77,0.4852686308492201,12.06,4.9,81.6570821529745,Normal
353,100.0,539.0055,-577.892,0.9327097450734738,8.57,2.81,5.76,0.4878472222222222,12.06,4.9,81.85439093484419,Normal
354,100.0,538.4595,-578.877,0.9301794681771776,8.58,2.81,5.77,0.4870017331022531,12.06,4.9,81.99390934844192,Normal
355,100.0,539.4225,-577.9295,0.933370765811401,8.57,2.81,5.76,0.4878472222222222,12.06,4.97,81.85970254957506,Normal
356,100.0,539.199,-576.291,0.9356366835504978,8.58,2.81,5.77,0.4870017331022531,12.06,4.9,81.62762039660056,Normal
357,100.0,538.9365,-577.03,0.9339835017243472,8.57,2.8,5.77,0.4852686308492201,12.06,4.9,81.73229461756372,Normal
358,100.0,539.4975,-576.6235,0.9356148335959252,8.57,2.81,5.76,0.4878472222222222,12.19,4.9,80.197983310153,Normal
359,100.0,539.07,-576.483,0.9351012952680308,8.58,2.81,5.77,0.4870017331022531,12.19,4.9,80.17844228094576,Normal
360,100.0,539.395,-584.5935,0.922683882047953,8.57,2.81,5.76,0.4878472222222222,12.26,4.97,80.52252066115702,Normal
361,100.0,538.9205,-581.6125,0.9265971759547807,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,79.45525956284152,Normal
362,100.0,538.6135,-579.7475,0.9290484219423112,8.57,2.8,5.77,0.4852686308492201,12.32,4.9,79.20047814207649,Normal
363,100.0,539.2595,-578.6985,0.9318487951843664,8.57,2.81,5.76,0.4878472222222222,12.26,4.97,79.71053719008265,Normal
364,100.0,538.7515,-576.4795,0.934554481122052,8.58,2.81,5.77,0.4870017331022531,12.26,4.9,79.40488980716255,Normal
365,100.0,539.3315,-576.741,0.9351363957131538,8.57,2.81,5.76,0.4878472222222222,12.26,4.9,79.44090909090909,Normal
366,100.0,539.226,-577.3525,0.9339632200432144,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,78.87329234972677,Normal
367,100.0,539.3675,-577.311,0.9342754598474652,8.57,2.81,5.76,0.4878472222222222,12.32,4.97,78.86762295081968,Normal
368,100.0,539.19,-578.019,0.932824007515324,8.58,2.81,5.77,0.4870017331022531,12.26,4.9,79.61694214876033,Normal
369,100.0,539.2865,-575.7285,0.9367028034915764,8.57,2.8,5.77,0.4852686308492201,12.26,4.97,79.30144628099174,Normal
370,100.0,539.5825,-578.158,0.93327861933935,8.57,2.81,5.76,0.4878472222222222,12.26,4.9,79.63608815426997,Normal
371,100.0,539.099,-577.6785,0.9332163132261284,8.58,2.81,5.77,0.4870017331022531,12.26,4.9,79.57004132231405,Normal
372,100.0,538.7995,-578.194,0.9318662940120443,8.57,2.8,5.77,0.4852686308492201,12.26,4.9,79.64104683195592,Normal
373,100.0,539.2785,-576.0905,0.9361003175716316,8.57,2.81,5.76,0.4878472222222222,12.26,4.9,79.35130853994491,Normal
374,100.0,538.8505,-576.0275,0.9354596785743736,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,78.69228142076503,Normal
375,100.0,539.2935,-577.31,0.9341488974727616,8.57,2.81,5.76,0.4878472222222222,12.39,4.97,78.12043301759132,Normal
376,100.0,539.552,-575.531,0.9374855568162273,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,78.62445355191255,Normal
377,100.0,539.4685,-576.3285,0.9360434196816572,8.57,2.81,5.76,0.4878472222222222,12.32,4.97,78.73340163934425,Normal
378,100.0,539.1655,-574.2355,0.938927495774817,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,78.44747267759563,Normal
379,100.0,539.4745,-573.943,0.939944384721131,8.57,2.8,5.77,0.4852686308492201,12.32,4.97,78.40751366120217,Normal
380,100.0,539.8015,-576.5475,0.936265442136164,8.57,2.81,5.76,0.4878472222222222,12.32,4.9,78.76331967213115,Normal
381,100.0,539.059,-572.7345,0.9412022499081162,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,78.24241803278689,Normal
