Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
1,100.0,484.9515,-485.3095,0.9992623264123204,8.57,2.86,5.71,0.5008756567425569,11.15,5.16,78.9121138211382,Normal
2,100.0,485.55,-486.0805,0.9989086169883384,8.58,2.86,5.72,0.5,11.22,5.1,78.14799035369774,Normal
3,100.0,484.878,-486.4915,0.9966833952905652,8.57,2.85,5.72,0.4982517482517483,11.22,5.29,78.21406752411575,Normal
4,100.0,485.4865,-486.311,0.9983045828698096,8.57,2.86,5.71,0.5008756567425569,11.35,5.68,76.5844094488189,Normal
5,100.0,485.6685,-489.986,0.99118852375374,8.58,2.86,5.72,0.5,11.41,5.03,76.44087363494539,Normal
6,100.0,485.0065,-486.412,0.9971104742481685,8.57,2.86,5.71,0.5008756567425569,11.48,5.03,75.06358024691357,Normal
7,100.0,485.5,-483.645,1.0038354578254711,8.58,2.86,5.72,0.5,11.54,4.97,73.95183486238533,Normal
8,100.0,484.8815,-486.3745,0.996930348938935,8.57,2.85,5.72,0.4982517482517483,11.61,5.36,73.58161875945538,Normal
9,100.0,485.5285,-486.069,0.9988880179562984,8.57,2.86,5.71,0.5008756567425569,11.67,5.49,72.87391304347827,Normal
10,100.0,485.714,-486.6595,0.9980571631705536,8.58,2.86,5.72,0.5,11.67,5.03,72.96244377811094,Normal
11,100.0,485.1435,-488.3015,0.9935326842125204,8.57,2.86,5.71,0.5008756567425569,11.74,5.03,72.448293768546,Normal
12,100.0,485.5825,-211.8665,2.291926755763653,5.18,2.86,2.32,1.2327586206896552,11.8,5.03,31.156838235294117,Noise
13,100.0,485.592,-367.4545,1.3215023900918346,8.57,2.86,5.71,0.5008756567425569,10.89,2.04,62.38616298811544,Bronch
14,100.0,485.953,5.7675,-84.25713047247507,7.0,2.86,4.14,0.6908212560386474,11.74,4.64,-0.8557121661721068,Bronch
15,100.0,485.978,-10.0035,48.58079672114759,6.41,2.86,3.55,0.8056338028169014,10.76,2.1,1.73671875,Bronch
16,100.0,485.923,12.4775,-38.943939090362655,8.58,2.86,5.72,0.5,8.55,2.04,-3.5147887323943654,Bronch
17,100.0,485.034,-199.1005,2.436126478838576,8.57,2.86,5.71,0.5008756567425569,11.8,2.69,29.279485294117645,Bronch
18,100.0,485.5805,-214.3205,2.265674538833196,8.58,2.86,5.72,0.5,12.45,4.84,28.76785234899329,Bronch
19,100.0,484.8515,-101.062,4.797564861174329,8.57,2.85,5.72,0.4982517482517483,11.87,4.77,14.71062590975255,Bronch
20,100.0,485.6165,-115.065,4.220366749228696,8.57,2.86,5.71,0.5008756567425569,10.57,4.06,20.657989228007175,Bronch
21,100.0,485.908,-196.8965,2.4678346237744195,8.58,2.86,5.72,0.5,11.22,5.1,31.655385852090028,Bronch
22,100.0,485.0645,-54.016,8.980015180687204,8.57,2.86,5.71,0.5008756567425569,12.71,5.55,7.005966277561607,Bronch
23,100.0,485.696,192.8105,-2.5190329364842685,8.58,2.86,5.72,0.5,6.73,2.88,-111.45115606936412,Bronch
24,100.0,484.94,-39.2825,12.344937313052888,8.57,2.85,5.72,0.4982517482517483,9.92,4.19,7.984247967479675,Bronch
25,100.0,485.5535,54.2415,-8.951697500990939,8.57,2.86,5.71,0.5008756567425569,11.67,5.03,-8.13215892053973,Bronch
26,100.0,485.927,17.6365,-27.55234882204519,8.58,2.86,5.72,0.5,9.33,3.73,-4.073094688221709,Bronch
27,100.0,485.054,-244.9535,1.9801880765124809,8.57,2.86,5.71,0.5008756567425569,10.7,5.55,42.97429824561404,Bronch
28,100.0,485.6615,-252.783,1.9212585498233663,8.58,2.86,5.72,0.5,11.87,5.49,36.79519650655022,Bronch
29,100.0,484.875,-181.841,2.666477857028943,8.57,2.85,5.72,0.4982517482517483,12.19,5.36,25.290820584144647,Bronch
30,100.0,485.5505,-205.0005,2.3685332474798844,8.57,2.86,5.71,0.5008756567425569,10.37,5.36,38.17513966480448,Bronch
