Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1,2740.0,469.7939,-411.9835,1.1403221245511046,8.834,3.164,5.67,0.5580246913580247,1977.3,-64.06,1977.04,0.20888480454291944,Noise
2,100.0,460.959,-459.094,1.004062348887156,8.57,2.9,5.67,0.5114638447971781,11.54,-68.64,5.1,70.19785932721713,Normal
3,100.0,461.416,-505.4785,0.9128301203710939,8.58,2.91,5.67,0.5132275132275133,11.61,-69.4,5.16,76.47178517397883,Normal
4,100.0,713.3705,-643.2965,1.1089295527023697,8.57,2.9,5.67,0.5114638447971781,14.21,-84.13,4.9,69.84761129207384,Recruitment
5,100.0,927.1245,-782.671,1.1845647788151088,8.58,2.91,5.67,0.5132275132275133,17.47,-102.88,4.84,62.76431435445069,Recruitment
6,100.0,1113.638,-961.957,1.157679605221439,8.57,2.9,5.67,0.5114638447971781,21.89,-130.28,5.1,56.9542332741267,Recruitment
7,100.0,1132.6025,-1064.7415,1.0637347187087194,8.58,2.91,5.67,0.5132275132275133,24.69,-148.7,5.03,54.07524123920772,Recruitment
8,100.0,1082.3575,-1073.854,1.0079186742331825,8.97,2.81,6.16,0.45616883116883117,25.02,-155.4,5.16,53.63906093906094,Recruitment
9,100.0,1040.493,-1034.4665,1.005825708227381,8.58,2.91,5.67,0.5132275132275133,23.59,-148.65,5.1,55.64639591178053,Recruitment
10,100.0,1035.08,-958.356,1.0800579325428128,15.93,10.26,5.67,1.8095238095238095,24.17,-121.08,5.16,49.99248826291079,InPause
11,100.0,1018.04,-1101.0575,0.9246020303208506,8.98,2.88,6.1,0.4721311475409836,24.95,-161.94,5.16,55.19085213032581,Recruitment
12,100.0,868.4595,-859.7665,1.0101108847576639,8.58,2.91,5.67,0.5132275132275133,18.9,-114.74,4.9,61.853705035971224,Recruitment
13,100.0,644.2715,-679.185,0.948595007251338,8.57,2.9,5.67,0.5114638447971781,14.21,-87.01,5.1,73.74429967426708,Recruitment
14,100.0,436.805,-478.6075,0.9126580757719007,8.57,2.9,5.67,0.5114638447971781,10.44,-62.48,5.1,87.97931985294119,Normal
15,100.0,433.178,-461.44,0.938752600554785,8.58,2.91,5.67,0.5132275132275133,10.44,-61.4,5.1,84.82352941176471,Normal
16,100.0,433.4585,-460.8075,0.9406498375134954,8.57,2.91,5.66,0.5141342756183745,10.5,-62.89,5.1,83.78318181818182,Normal
17,100.0,433.4325,-461.6585,0.9388595682739515,8.58,2.91,5.67,0.5132275132275133,10.57,-63.27,5.1,82.8830341113106,Normal
18,100.0,432.9095,-456.014,0.9493337923835671,8.57,2.9,5.67,0.5114638447971781,10.57,-62.73,5.1,81.86965888689407,Normal
19,100.0,433.1985,-458.787,0.9442257518194719,8.58,2.91,5.67,0.5132275132275133,10.7,-64.33,5.1,80.48894736842107,Normal
20,100.0,432.953,-434.386,0.9967010907349684,8.57,2.9,5.67,0.5114638447971781,10.44,-61.26,5.03,79.85036764705883,Normal
21,100.0,433.5835,-109.3435,3.9653340161966644,8.57,2.91,5.66,0.5141342756183745,10.63,-63.08,5.1,19.42158081705151,Bronch
22,100.0,433.6575,-297.563,1.4573636507227044,8.58,2.91,5.67,0.5132275132275133,9.78,-28.16,4.77,62.25167364016737,Bronch
23,100.0,433.0905,-146.1465,2.963399739302686,8.57,2.9,5.67,0.5114638447971781,9.78,-29.03,4.25,30.574581589958164,Bronch
24,100.0,431.1005,-263.192,1.6379696191373598,8.58,2.91,5.67,0.5132275132275133,10.11,-33.02,4.77,51.50528375733856,Bronch
25,100.0,433.097,-321.6225,1.3466004399567815,8.57,2.9,5.67,0.5114638447971781,10.44,-34.57,4.64,59.1217830882353,Bronch
26,100.0,433.2885,-195.2495,2.219152929969091,8.57,2.91,5.66,0.5141342756183745,10.76,-36.3,4.77,33.897482638888896,Bronch
27,100.0,433.7645,-288.4085,1.503993467598909,8.58,2.91,5.67,0.5132275132275133,9.85,-30.04,4.9,59.46567010309279,Bronch
28,100.0,433.073,-86.5575,5.003298385466308,8.57,2.9,5.67,0.5114638447971781,8.87,-23.58,4.58,22.366279069767447,Bronch
29,100.0,431.1225,-112.1425,3.844416701964019,8.58,2.91,5.67,0.5132275132275133,9.78,-31.34,4.77,23.46077405857741,Bronch
