Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
1,100.0,457.738,-475.2265,0.9631996532179918,8.57,2.86,5.71,0.5008756567425569,11.48,3.99,73.33742283950616,Normal
2,100.0,457.388,-479.438,0.9540086517964783,8.58,2.86,5.72,0.5,11.54,5.36,73.30856269113151,Normal
3,100.0,457.946,-476.506,0.9610498083969563,8.58,2.86,5.72,0.5,11.48,5.03,73.53487654320986,Normal
4,100.0,457.6445,-477.129,0.9591630355731887,8.57,2.85,5.72,0.4982517482517483,11.61,5.29,72.18290468986385,Normal
5,100.0,457.9225,-479.8085,0.9543859685687103,8.57,2.86,5.71,0.5008756567425569,11.54,5.75,73.36521406727829,Normal
6,100.0,457.6685,-475.8275,0.9618370102610715,8.57,2.86,5.71,0.5008756567425569,11.48,5.03,73.43016975308642,Normal
7,100.0,457.549,-478.665,0.9558856402703351,8.58,2.86,5.72,0.5,11.54,5.36,73.19036697247708,Normal
8,100.0,457.5255,-479.553,0.9540665995208037,8.58,2.86,5.72,0.5,11.54,5.03,73.32614678899084,Normal
9,100.0,457.7945,-477.002,0.9597328732374288,8.57,2.85,5.72,0.4982517482517483,11.54,5.36,72.93608562691132,Normal
10,100.0,458.089,-481.622,0.9511380294089555,8.57,2.86,5.71,0.5008756567425569,11.54,5.42,73.64250764525995,Normal
11,100.0,457.6355,-478.493,0.956410020627261,8.57,2.86,5.71,0.5008756567425569,11.54,5.1,73.16406727828748,Normal
12,100.0,457.366,-479.59,0.9536604182739423,8.58,2.86,5.72,0.5,11.67,5.29,71.90254872563717,Normal
13,100.0,457.7885,-478.249,0.9572178927713387,8.58,2.86,5.72,0.5,11.67,5.1,71.70149925037482,Normal
14,100.0,457.713,-478.525,0.9565080194347214,8.57,2.85,5.72,0.4982517482517483,11.74,5.29,70.99777448071217,Normal
15,100.0,457.7255,-474.971,0.9636914674790672,8.57,2.86,5.71,0.5008756567425569,11.74,5.62,70.47047477744808,Normal
16,100.0,457.849,-474.2885,0.9653386071979396,8.57,2.86,5.71,0.5008756567425569,11.74,5.1,70.36921364985163,Normal
17,100.0,457.587,-477.003,0.9592958534851982,8.58,2.86,5.72,0.5,11.87,5.36,69.43275109170307,Normal
18,100.0,458.0855,-476.2735,0.9618118581025399,8.58,2.86,5.72,0.5,11.87,5.03,69.32656477438138,Normal
19,100.0,457.4275,-476.4025,0.9601702342032211,8.57,2.85,5.72,0.4982517482517483,11.87,5.36,69.3453420669578,Normal
20,100.0,458.014,-469.844,0.9748214300916901,8.57,2.86,5.71,0.5008756567425569,12.0,5.36,67.12057142857142,Normal
21,100.0,458.0115,-474.7745,0.9646927120138087,8.57,2.86,5.71,0.5008756567425569,11.8,5.1,69.8197794117647,Normal
22,100.0,457.634,-473.2045,0.9670956214490776,8.58,2.86,5.72,0.5,11.74,5.29,70.20838278931751,Normal
23,100.0,457.9565,-478.9835,0.9561007842650112,8.58,2.86,5.72,0.5,11.8,5.1,70.43874999999998,Normal
24,100.0,457.6395,-470.769,0.9721105255443753,8.57,2.85,5.72,0.4982517482517483,11.8,5.16,69.23073529411764,Normal
25,100.0,457.604,-479.293,0.954747930806417,8.57,2.86,5.71,0.5008756567425569,11.8,5.62,70.48426470588235,Normal
26,100.0,457.848,-472.9385,0.9680920457945379,8.57,2.86,5.71,0.5008756567425569,11.67,5.1,70.90532233883059,Normal
27,100.0,457.714,-473.085,0.9675090100087722,8.58,2.86,5.72,0.5,11.67,5.36,70.92728635682158,Normal
28,100.0,458.3265,-474.1675,0.9665919743550538,8.58,2.86,5.72,0.5,11.67,5.03,71.08958020989506,Normal
29,100.0,457.7795,-471.569,0.9707582559498186,8.57,2.85,5.72,0.4982517482517483,11.67,5.29,70.7,Normal
30,100.0,457.823,-474.061,0.9657470241171495,8.57,2.86,5.71,0.5008756567425569,11.67,5.23,71.07361319340329,Normal
31,100.0,457.751,-473.5465,0.9666442471858624,8.57,2.86,5.71,0.5008756567425569,11.67,5.03,70.99647676161919,Normal
32,100.0,457.781,-475.2205,0.9633022986171682,8.58,2.86,5.72,0.5,11.67,5.36,71.24745127436282,Normal
33,100.0,457.9865,-474.596,0.9650028655951588,8.58,2.86,5.72,0.5,11.67,5.03,71.15382308845578,Normal
34,100.0,457.5455,-473.949,0.9653897360264501,8.57,2.85,5.72,0.4982517482517483,11.67,5.03,71.0568215892054,Normal
35,100.0,457.905,-474.042,0.9659587125191439,8.57,2.86,5.71,0.5008756567425569,11.67,5.49,71.07076461769115,Normal
36,100.0,457.77,-472.9485,0.9679066536842805,8.58,2.86,5.72,0.5,11.74,5.1,70.17040059347181,Normal
37,100.0,457.5785,-476.0195,0.961259990399553,8.57,2.85,5.72,0.4982517482517483,11.74,5.29,70.62603857566765,Normal
38,100.0,457.8345,-472.6435,0.9686677167886578,8.58,2.86,5.72,0.5,11.74,5.1,70.12514836795252,Normal
39,100.0,457.5945,-475.021,0.9633142534751095,8.57,2.85,5.72,0.4982517482517483,11.8,5.23,69.8560294117647,Normal
40,100.0,457.8675,-473.1225,0.9677567648970404,8.57,2.86,5.71,0.5008756567425569,11.8,5.16,69.5768382352941,Normal
41,100.0,457.633,-472.4555,0.968626674893191,8.58,2.86,5.72,0.5,11.8,5.1,69.47874999999999,Normal
42,100.0,458.0515,-472.57,0.9692775673445203,8.57,2.86,5.71,0.5008756567425569,11.87,5.68,68.78748180494907,Normal
43,100.0,458.0255,-473.907,0.96648815062871,8.57,2.86,5.71,0.5008756567425569,11.87,5.1,68.982096069869,Normal
44,100.0,457.879,-473.4335,0.9671453329770707,8.58,2.86,5.72,0.5,11.87,5.36,68.91317321688501,Normal
