Breath_num,P_peak,Dy_comp,Label
1,15.51,47.81550904,Normal
2,14.86,54.05126775,Normal
3,14.8,55.46867347,Normal
4,14.47,58.78590285,Normal
5,14.54,54.64302935,Normal
6,14.67,54.20806618,Normal
7,15.64,52.92072368,Normal
8,14.73,59.6467112,Normal
9,14.34,60.94116702,Normal
10,14.34,61.51729122,Normal
11,14.15,61.23469945,Normal
12,14.54,59.94203354,Normal
13,14.47,60.2313094,Normal
14,14.41,61.15494155,Normal
15,14.02,64.35643016,Normal
16,14.02,63.48885809,Normal
17,14.15,62.63551913,Normal
18,14.21,62.36064061,Normal
19,14.15,61.5926776,Normal
20,14.34,61.76504283,Normal
21,14.28,60.79331897,Normal
22,14.34,62.15342612,Normal
23,14.21,61.22616721,Normal
24,14.28,61.46837284,Normal
25,14.34,60.59914347,Normal
26,14.34,62.07553533,Normal
27,14.28,60.65522629,Normal
28,14.41,61.45903294,Normal
29,14.28,60.69019397,Normal
30,14.54,59.96661426,Normal
31,14.47,60.71156283,Normal
32,14.34,59.42730193,Normal
33,14.73,61.08792395,Normal
34,13.43,69.19655991,Normal
35,13.5,67.82194118,Normal
36,13.43,68.7088968,Normal
37,13.5,66.11064706,Normal
38,13.56,66.19865654,Normal
39,13.63,67.3580533,Normal
40,13.3,71.8710241,Normal
41,12.71,70.84623865,Normal
42,13.3,71.89493976,Normal
43,12.58,76.82941953,Normal
44,12.58,75.80923483,Normal
45,12.65,75.80614379,Normal
46,12.65,58.15405229,Bronch
47,12.06,68.3888102,Bronch
48,13.82,51.48696145,Bronch
49,13.5,50.32905882,Bronch
50,13.82,44.86785714,Bronch
51,14.02,53.86141907,Bronch
52,13.56,37.88370327,Bronch
53,13.3,68.82012048,Bronch
54,13.37,69.37425329,Bronch
55,12.97,73.28306148,Bronch
56,12.91,72.98002528,Bronch
57,12.91,72.74039191,Bronch
58,12.97,72.05363864,Bronch
59,12.97,72.35828105,Bronch
60,13.04,70.03631841,Bronch
61,12.52,62.25166223,Bronch
62,16.36,42.34559859,Bronch
63,14.41,46.29994687,Bronch
64,14.15,51.66245902,Bronch
65,15.71,48.76013072,Bronch
66,16.16,50.68494624,Bronch
67,17.53,43.37665603,Bronch
68,16.16,43.32827061,Bronch
69,11.09,62.45221675,Bronch
70,12.52,51.96389628,Bronch
71,15.58,48.53232514,Bronch
72,16.1,45.85238739,Bronch
73,14.73,51.85097636,Bronch
74,15.71,48.55098039,Bronch
75,15.58,51.1129017,Bronch
76,15.58,50.35524575,Bronch
77,15.9,49.2666055,Bronch
