Breath_num,P_peak,Dy_comp,Label
1,13.76,19.25313927,Noise
2,12.71,41.35110246,Normal
3,12.97,39.43199498,Normal
4,12.97,41.30169385,Normal
5,13.04,41.03345771,Normal
6,12.97,43.29623588,Normal
7,13.5,39.73952941,Normal
8,12.13,44.62068724,Normal
9,12.58,43.95653034,Normal
10,12.45,45.04060403,Normal
11,12.52,44.03643617,Normal
12,12.71,43.85440986,Normal
13,12.58,44.30659631,Normal
14,12.58,44.5098285,Normal
15,12.65,44.9024183,Normal
16,12.52,44.50432181,Normal
17,13.5,47.33323529,Noise
18,11.93,51.52099567,Normal
19,12.84,40.3466199,Normal
20,12.32,40.8364071,Normal
21,11.93,45.00281385,Normal
22,12.45,45.17315436,Normal
23,12.45,47.20919463,Normal
24,12.39,44.85358593,Normal
25,12.45,43.91536913,Normal
26,12.32,46.19556011,Normal
27,12.32,45.59467213,Normal
28,12.32,46.0557377,Normal
29,12.39,45.71603518,Normal
30,12.39,46.20514208,Normal
31,12.71,43.64948119,Normal
32,12.45,45.96812081,Normal
33,12.58,44.97130607,Normal
34,12.45,45.12939597,Normal
35,12.45,46.2185906,Normal
36,12.91,46.04639697,Normal
37,12.97,45.29968632,Normal
38,12.32,45.20758197,Normal
39,13.04,41.34925373,Normal
40,13.04,41.43289801,Normal
41,12.52,43.49474734,Normal
42,12.26,47.57568871,Normal
43,11.8,55.72610294,Normal
44,11.35,51.99496063,Normal
45,11.61,49.58184569,Normal
46,11.67,46.31469265,Normal
47,12.52,47.1168883,Normal
48,12.84,48.6776148,Normal
49,12,43.27328571,Normal
50,11.41,53.17379095,Normal
51,12.26,49.62555096,Normal
52,11.02,50.47209302,Normal
53,11.74,47.51847181,Normal
54,12.06,47.52230878,Normal
55,12.26,57.50971074,Noise
56,14.15,42.70967213,Noise
57,10.5,52.27327273,Noise
58,11.41,43.84352574,Noise
59,12.06,43.20410765,Normal
60,12.32,41.37096995,Noise
61,2.43,5.89922179,Noise
62,4.06,3.960638298,Noise
63,-0.04,2.944543651,Noise
64,-0.04,-2.630456349,Noise
65,6.01,-141.6133663,Noise
66,11.87,42.78209607,Normal
67,12.52,41.52958777,Normal
68,12.52,42.43404255,Normal
69,12.45,44.32711409,Normal
70,12.26,45.05674931,Normal
71,12.32,45.29050546,Normal
72,12.32,44.64945355,Normal
73,12.45,44.68731544,Normal
74,12.45,44.79986577,Normal
75,12.39,44.44100135,Normal
76,12.52,44.45033245,Normal
77,12.52,43.70970745,Normal
78,12.65,43.74509804,Normal
79,12.58,43.79261214,Normal
80,12.65,43.34359477,Normal
81,12.58,44.50804749,Normal
82,12.45,44.5647651,Normal
83,12.52,44.38769947,Normal
84,12.45,44.97409396,Normal
85,12.52,44.25412234,Normal
86,12.52,44.72825798,Normal
87,12.52,44.19554521,Normal
88,12.58,44.59050132,Normal
89,12.52,44.3856383,Normal
90,12.58,43.74637203,Normal
91,12.65,44.00921569,Normal
92,12.65,43.81679739,Normal
93,12.58,44.06695251,Normal
94,12.58,44.39426121,Normal
95,12.52,44.26609043,Normal
96,12.58,44.75890501,Normal
97,12.52,44.23803191,Normal
98,12.65,44.0027451,Normal
99,12.52,44.53337766,Normal
100,12.58,43.6567942,Normal
101,12.71,43.95084306,Normal
102,12.65,43.72385621,Normal
103,12.65,43.70294118,Normal
104,12.71,43.56686122,Normal
105,12.65,43.25228758,Normal
106,12.78,43.7903599,Normal
107,12.78,43.1874036,Normal
108,12.78,43.4159383,Normal
109,12.71,43.6459144,Normal
110,12.58,43.68588391,Normal
111,12.65,44.46287582,Normal
112,12.52,44.33045213,Normal
113,12.58,44.14861478,Normal
114,12.52,44.79242021,Normal
115,12.52,44.31010638,Normal
116,12.45,45.39731544,Normal
117,12.39,45.18335589,Normal
118,12.39,45.22848444,Normal
119,12.39,45.67219215,Normal
120,12.45,44.6657047,Normal
121,12.45,45.59899329,Normal
122,12.45,45.01013423,Normal
123,12.45,45.23308725,Normal
124,12.39,45.55453315,Normal
125,12.45,44.54469799,Normal
126,12.52,44.85152926,Normal
127,12.45,45.0066443,Normal
128,12.45,45.05691275,Normal
129,12.45,45.31711409,Normal
130,12.39,44.97909337,Normal
131,12.45,45.79979866,Normal
132,12.32,45.88285519,Normal
133,12.39,45.32435724,Normal
134,12.45,45.45496644,Normal
135,12.39,45.12050068,Normal
136,12.45,45.75932886,Normal
137,12.39,45.26373478,Normal
138,12.45,45.00369128,Normal
