Breath_num,P_peak,Dy_comp,Label
1,13.56,65.92599299,Normal
2,13.76,65.51740868,Normal
3,13.69,79.58463751,Noise
4,14.67,63.50201655,Noise
5,13.76,59.06638128,Normal
6,13.63,63.48887601,Normal
7,13.82,63.83123583,Normal
8,13.89,63.50140607,Normal
9,13.89,63.97182227,Normal
10,13.95,63.10804469,Normal
11,14.02,63.25105322,Normal
12,14.02,63.31280488,Normal
13,13.95,63.86268156,Normal
14,14.02,63.38203991,Normal
15,14.02,63.35,Normal
16,14.08,63.12362335,Normal
17,14.02,62.97466741,Normal
18,14.08,63.03761013,Normal
19,14.15,62.21612022,Normal
20,14.15,62.58814208,Normal
21,14.15,62.60027322,Normal
22,14.15,62.25240437,Normal
23,14.15,61.99480874,Normal
24,14.15,62.66901639,Normal
25,14.15,62.22786885,Normal
26,14.21,62.01590662,Normal
27,14.15,62.25114754,Normal
28,14.15,62.64453552,Normal
29,14.15,62.2479235,Normal
30,14.21,62.06178067,Normal
31,14.21,62.4102063,Normal
32,14.15,62.50224044,Normal
33,14.15,62.62344262,Normal
34,14.15,62.43568306,Normal
35,14.21,63.12155266,Normal
36,14.15,63.10562842,Normal
37,14.02,62.95604213,Normal
38,14.02,63.63797118,Normal
39,13.95,64.09463687,Normal
40,13.95,64.1147486,Normal
41,14.02,63.57128603,Normal
42,13.95,63.76435754,Normal
43,14.02,63.42971175,Normal
44,13.95,64.0372067,Normal
45,13.95,63.84201117,Normal
46,13.95,63.81815642,Normal
47,13.89,64.3912261,Normal
48,13.89,64.30421822,Normal
49,13.82,64.86848073,Normal
50,13.89,64.39634421,Normal
51,13.89,64.46591676,Normal
52,13.89,64.19533183,Normal
53,13.89,64.44353206,Normal
54,13.89,64.46462317,Normal
55,13.89,64.08689539,Normal
56,13.95,63.74234637,Normal
57,13.95,64.06960894,Normal
58,13.95,63.69849162,Normal
59,14.02,63.58026608,Normal
60,14.08,63.12136564,Normal
61,14.15,62.47819672,Normal
62,14.15,62.89836066,Normal
63,14.15,62.94846995,Normal
64,14.15,62.75125683,Normal
65,14.28,61.73265086,Normal
66,14.34,61.59148822,Normal
67,14.28,61.80043103,Normal
68,14.41,60.69633369,Normal
69,14.41,61.03512221,Normal
70,14.41,61.15563231,Normal
71,14.47,60.54329461,Normal
72,14.47,60.52069694,Normal
73,14.41,60.88214665,Normal
74,14.47,60.71462513,Normal
75,14.47,60.51436114,Normal
76,14.54,60.2918239,Normal
77,14.47,60.80026399,Normal
78,14.6,59.99703125,Normal
79,14.6,59.98197917,Normal
80,14.6,59.68661458,Normal
81,14.67,59.70036194,Normal
82,14.6,59.4825,Normal
83,14.73,58.82584789,Normal
84,14.73,59.1536999,Normal
85,14.73,58.61402878,Normal
86,14.86,58.27281947,Normal
87,14.8,58.20765306,Normal
88,14.86,57.96566937,Normal
89,14.86,58.44604462,Normal
90,14.73,58.82153135,Normal
91,14.8,58.48658163,Normal
92,14.8,58.38183673,Normal
93,14.8,58.26428571,Normal
94,14.8,58.56576531,Normal
95,14.8,58.23637755,Normal
96,14.86,57.99731237,Normal
97,14.86,58.17276876,Normal
98,14.86,58.24766734,Normal
99,14.8,58.50510204,Normal
100,14.73,58.45632066,Normal
101,14.86,57.87743408,Normal
102,14.86,57.73225152,Normal
103,14.86,58.08646045,Normal
104,14.8,58.52821429,Normal
105,14.73,58.6885406,Normal
106,14.8,58.41964286,Normal
107,14.73,58.60811922,Normal
108,14.73,58.93119219,Normal
109,14.8,59.46438776,Normal
110,14.6,59.99145833,Normal
111,14.6,59.71359375,Normal
112,14.54,59.87421384,Normal
113,14.6,59.54760417,Normal
114,14.54,60.00262055,Normal
115,14.54,59.95419287,Normal
116,14.54,60.09187631,Normal
117,14.54,60.0413522,Normal
118,14.6,59.66666667,Normal
119,14.54,60.3471174,Normal
120,14.54,59.9577044,Normal
121,14.54,60.31252621,Normal
122,14.47,60.56774023,Normal
123,14.6,59.72859375,Normal
124,14.6,59.86447917,Normal
125,14.54,60.13244235,Normal
126,14.54,60.23464361,Normal
127,14.54,60.05052411,Normal
128,14.6,59.71666667,Normal
129,14.6,60.04416667,Normal
130,14.54,60.03694969,Normal
131,14.6,59.77411458,Normal
132,14.54,59.98574423,Normal
133,14.6,59.76713542,Normal
134,14.6,59.89328125,Normal
135,14.54,60.10953878,Normal
136,14.6,59.5134375,Normal
137,14.6,59.71041667,Normal
138,14.6,59.35572917,Normal
139,14.6,59.8796875,Normal
140,14.54,59.90759958,Normal
141,14.6,59.45979167,Normal
142,14.6,59.50046875,Normal
143,14.67,59.15698035,Normal
144,14.6,59.77630208,Normal
145,14.67,59.2229576,Normal
146,14.67,59.13862461,Normal
147,14.6,59.7025,Normal
148,14.67,59.16494312,Normal
149,14.6,59.56369792,Normal
150,14.67,59.00005171,Normal
151,14.6,59.45557292,Normal
152,14.67,58.99395036,Normal
153,14.67,58.8917787,Normal
154,14.67,59.28469493,Normal
155,14.67,58.91695967,Normal
156,14.67,59.0483454,Normal
157,14.67,58.90470527,Normal
158,14.67,58.79131334,Normal
159,14.67,59.22564633,Normal
160,14.6,59.35739583,Normal
161,14.67,59.21789038,Normal
162,14.67,58.66209928,Normal
163,14.73,58.52389517,Normal
164,14.73,58.67240493,Normal
165,14.67,58.82988625,Normal
166,14.67,59.07275078,Normal
167,14.67,58.9910031,Normal
168,14.73,58.61921891,Normal
169,14.73,58.9323741,Normal
170,14.73,58.53412127,Normal
171,14.67,58.79400207,Normal
172,14.67,58.95460186,Normal
173,14.73,58.43273381,Normal
174,14.73,58.9524666,Normal
175,14.73,58.55226105,Normal
176,14.73,59.06870504,Normal
177,14.8,58.58418367,Normal
178,14.8,58.67107143,Normal
179,14.8,58.66647959,Normal
180,14.73,58.69152107,Normal
181,14.67,59.15501551,Normal
182,14.67,59.24689762,Normal
183,14.73,58.7840185,Normal
184,14.67,59.0975698,Normal
185,14.67,58.91892451,Normal
186,14.67,58.89565667,Normal
187,8.74,41.46737968,Bronch
188,16.75,44.53974468,Bronch
189,13.76,22.6913242,Bronch
190,15.51,36.08672693,Bronch
191,16.03,34.59188577,Bronch
192,15.77,27.14438254,Bronch
193,15.19,22.6156526,Bronch
194,14.67,35.40134436,Bronch
195,13.24,10.7621966,Bronch
196,12.13,30.47461431,Bronch
197,14.54,29.83626834,Bronch
198,12.39,13.84891746,Bronch
199,12.71,53.82821012,Bronch
200,12.58,41.31635884,Bronch
201,15.9,21.03623853,Bronch
202,15.19,25.06236506,Bronch
203,16.16,34.9813172,Bronch
204,16.49,30.06192341,Bronch
205,14.41,27.87752391,Bronch
206,15.77,26.42019499,Bronch
207,14.54,33.63139413,Bronch
208,12.97,24.86593476,Bronch
209,15.25,22.50653659,Bronch
210,13.56,32.10040888,Bronch
211,13.63,13.25353418,Bronch
212,13.5,21.124,Bronch
213,10.7,2.917719298,Bronch
214,10.63,15.24369449,Bronch
215,12.58,50.41906332,Bronch
216,13.82,47.01071429,Bronch
217,15.19,43.82168793,Bronch
218,16.62,28.93003442,Bronch
219,14.28,23.7408944,Bronch
220,14.02,35.21513304,Bronch
221,14.47,16.34751848,Bronch
