Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1413,100.0,227.1705,-241.8775,0.9391964940930844,8.57,2.75,5.82,0.4725085910652921,11.93,-62.62,4.71,34.90295815295816,Normal
1414,100.0,226.78,-237.0015,0.956871580981555,8.57,2.75,5.82,0.4725085910652921,11.93,-62.27,4.71,34.19935064935065,Normal
1415,100.0,227.2895,-242.1705,0.9385515576835328,8.58,2.76,5.82,0.4742268041237112,12.0,-62.94,4.71,34.59578571428572,Normal
1416,100.0,227.1935,-240.0995,0.9462472849797688,8.57,2.75,5.82,0.4725085910652921,11.87,-62.05,4.71,34.94898107714702,Normal
1417,100.0,226.4805,-235.6415,0.9611231468141224,8.57,2.75,5.82,0.4725085910652921,11.87,-62.27,4.71,34.30007278020379,Normal
1418,100.0,226.994,-237.9335,0.9540228677340516,8.58,2.76,5.82,0.4742268041237112,11.93,-62.94,4.71,34.33383838383838,Normal
1419,100.0,226.986,-243.1005,0.933712600344302,8.58,2.75,5.83,0.4716981132075472,12.0,-63.35,4.77,34.72864285714286,Normal
1420,100.0,227.0895,-236.236,0.9612823617060904,8.56,2.75,5.81,0.4733218588640275,11.87,-61.86,4.71,34.38660844250364,Normal
1421,100.0,227.0355,-234.429,0.968461666432054,8.58,2.76,5.82,0.4742268041237112,11.87,-61.86,4.71,34.1235807860262,Normal
1422,100.0,227.2235,-229.091,0.9918482175205484,8.58,2.76,5.82,0.4742268041237112,12.06,-62.35,4.71,32.44915014164306,Normal
1423,100.0,227.2435,-228.0375,0.9965181165378502,8.57,2.75,5.82,0.4725085910652921,12.19,-63.03,4.71,31.715924895688456,Normal
1424,100.0,226.845,-225.4835,1.0060381358281203,8.57,2.75,5.82,0.4725085910652921,12.19,-62.35,4.71,31.360709318497918,Normal
1425,100.0,227.2865,-225.4525,1.0081347512225414,8.58,2.76,5.82,0.4742268041237112,12.45,-64.03,4.71,30.26208053691275,Normal
1426,100.0,227.1775,-226.4985,1.0029978123475431,8.57,2.75,5.82,0.4725085910652921,12.65,-64.36,4.71,29.607647058823527,Normal
1427,100.0,226.6,-225.061,1.006838146102612,8.57,2.75,5.82,0.4725085910652921,12.65,-64.38,4.71,29.419738562091503,Normal
1428,100.0,227.115,-225.0255,1.0092856142970463,8.58,2.76,5.82,0.4742268041237112,12.97,-66.82,4.71,28.2340652446675,Normal
1429,100.0,226.8895,-227.4315,0.99761686485821,8.58,2.75,5.83,0.4716981132075472,12.97,-66.91,4.71,28.53594730238394,Normal
1430,100.0,227.1695,-227.3505,0.9992038724348528,8.56,2.75,5.81,0.4733218588640275,13.1,-67.67,4.71,28.06796296296297,Normal
1431,100.0,226.8735,-229.8235,0.9871640628569316,8.58,2.76,5.82,0.4742268041237112,13.1,-67.64,4.71,28.37327160493827,Normal
1432,100.0,227.2,-228.549,0.9940975458216836,8.58,2.76,5.82,0.4742268041237112,13.3,-68.89,4.71,27.53602409638554,Normal
1433,100.0,227.112,-228.0035,0.9960899723030568,8.57,2.75,5.82,0.4725085910652921,13.3,-69.48,4.71,27.470301204819275,Normal
1434,100.0,226.861,-229.756,0.9873996761782065,8.57,2.75,5.82,0.4725085910652921,13.24,-68.53,4.71,27.883009708737863,Normal
1435,100.0,227.258,-231.7885,0.9804541640331595,8.58,2.76,5.82,0.4742268041237112,13.1,-68.45,4.71,28.615864197530865,Normal
1436,100.0,227.193,-230.551,0.9854348929304146,8.57,2.75,5.82,0.4725085910652921,13.1,-68.07,4.71,28.46308641975309,Normal
1437,100.0,227.348,-229.633,0.9900493395984028,8.57,2.76,5.81,0.4750430292598967,13.1,-67.45,4.71,28.34975308641976,Normal
1438,100.0,227.2745,-231.6575,0.9810798268996256,8.58,2.76,5.82,0.4742268041237112,13.17,-69.56,4.71,28.3546511627907,Normal
1439,100.0,226.9005,-229.1315,0.9902632331215918,8.58,2.75,5.83,0.4716981132075472,13.1,-68.72,4.71,28.28783950617284,Normal
1440,100.0,227.111,-232.4305,0.9771135887932092,8.56,2.75,5.81,0.4733218588640275,13.17,-69.35,4.71,28.44926560587515,Normal
1441,100.0,227.064,-232.2715,0.9775801163724348,8.58,2.76,5.82,0.4742268041237112,13.04,-68.13,4.71,28.88949004975125,Unvisited
1442,100.0,227.4055,-228.6695,0.9944723716980184,8.58,2.76,5.82,0.4742268041237112,12.91,-67.39,4.71,28.90891276864728,Unvisited
1443,100.0,227.1005,-229.955,0.9875867017459936,8.57,2.75,5.82,0.4725085910652921,12.91,-67.94,4.71,29.071428571428573,Unvisited
1444,100.0,227.0195,-229.639,0.988592965480602,8.57,2.75,5.82,0.4725085910652921,12.91,-67.37,4.71,29.0314791403287,Unvisited
1445,100.0,227.511,-227.3265,1.0008116079735534,8.58,2.76,5.82,0.4742268041237112,12.91,-68.13,4.71,28.73912768647282,Unvisited
