Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1,100.0,489.5385,-509.775,0.9603030748859792,8.57,2.8,5.77,0.4852686308492201,10.37,-48.78,4.9,94.93016759776538,Normal
2,100.0,490.0585,-513.406,0.9545242946128406,8.57,2.81,5.76,0.4878472222222222,10.37,-49.3,4.9,95.60633147113596,Normal
3,100.0,489.721,-508.342,0.9633691491161462,8.58,2.81,5.77,0.4870017331022531,10.31,-48.21,4.84,95.73295668549903,Normal
4,100.0,490.093,-510.882,0.959307628767504,8.58,2.81,5.77,0.4870017331022531,10.37,-48.84,4.9,95.13631284916202,Normal
5,100.0,490.055,-329.0265,1.4894089077931414,8.57,2.8,5.77,0.4852686308492201,10.31,-48.95,4.9,61.963559322033895,Bronch
6,100.0,489.8495,-194.1165,2.52348203269686,8.57,2.8,5.77,0.4852686308492201,9.26,-21.82,3.73,45.567253521126766,Bronch
7,100.0,490.2515,-197.2785,2.4850731326525697,8.58,2.81,5.77,0.4870017331022531,11.54,-30.8,4.84,30.16490825688074,Bronch
8,100.0,491.0345,-277.2335,1.771194678853746,8.57,2.8,5.77,0.4852686308492201,10.37,-24.15,4.97,51.62635009310988,Bronch
9,100.0,490.484,-323.7885,1.514828352458472,8.57,2.81,5.76,0.4878472222222222,10.96,-27.95,4.71,54.32692953020133,Bronch
10,100.0,490.3215,-229.304,2.1383033004221472,8.58,2.81,5.77,0.4870017331022531,10.7,-26.62,4.51,40.22877192982457,Bronch
11,100.0,490.033,-323.596,1.51433577670923,8.57,2.8,5.77,0.4852686308492201,11.48,-31.77,5.03,49.93765432098765,Bronch
12,100.0,490.6675,-78.903,6.218616529156052,8.57,2.81,5.76,0.4878472222222222,9.59,-18.07,4.51,17.190196078431374,Bronch
13,100.0,490.423,-261.119,1.878159000302544,8.58,2.81,5.77,0.4870017331022531,9.85,-21.98,4.45,53.83896907216496,Bronch
14,100.0,490.2795,-300.5955,1.631027410589979,8.58,2.81,5.77,0.4870017331022531,10.76,-25.59,4.77,52.18671875,Bronch
15,100.0,489.9825,-143.0945,3.4241882112869466,8.57,2.8,5.77,0.4852686308492201,10.76,-26.26,4.9,24.84279513888889,Bronch
16,100.0,489.597,-40.044,12.226475876535812,8.57,2.8,5.77,0.4852686308492201,8.61,-13.97,4.51,11.092520775623267,Bronch
17,100.0,490.6615,20.433,-24.01318944844125,8.57,2.81,5.76,0.4878472222222222,9.98,-21.76,4.51,-4.10301204819277,Bronch
18,100.0,490.621,37.292,-13.15619972111981,8.58,2.81,5.77,0.4870017331022531,8.81,-14.73,4.64,-9.78792650918635,Bronch
19,100.0,490.45,91.3455,-5.3691752740966985,8.58,2.81,5.77,0.4870017331022531,9.07,-15.09,3.8,-22.443611793611797,Bronch
20,100.0,490.189,-262.03,1.8707361752471092,8.57,2.8,5.77,0.4852686308492201,10.89,-26.81,4.9,44.48726655348047,Bronch
21,100.0,489.6935,-331.4225,1.4775505585770428,8.57,2.8,5.77,0.4852686308492201,10.37,-23.99,4.84,61.71741154562385,Bronch
22,100.0,490.163,-317.965,1.5415627506172065,8.57,2.81,5.76,0.4878472222222222,10.76,-27.4,4.77,55.20225694444444,Bronch
23,100.0,489.9145,-249.463,1.9638764065212075,8.58,2.81,5.77,0.4870017331022531,10.24,-23.06,4.84,47.6074427480916,Bronch
24,100.0,490.5725,-117.3635,4.1799409526812,8.58,2.81,5.77,0.4870017331022531,9.85,-22.17,4.58,24.19865979381444,Bronch
