Breath_num,P_peak,Dy_comp,Label
1,11.67,75.49985007,Normal
2,11.74,76.87470326,Normal
3,11.48,79.56689815,Normal
4,11.54,79.30328746,Normal
5,11.54,80.36475535,Normal
6,11.41,80.73634945,Normal
7,11.48,80.60787037,Normal
8,11.48,80.56481481,Normal
9,11.48,81.00100309,Normal
10,11.41,81.84781591,Normal
11,11.41,81.474883,Normal
12,11.48,81.31805556,Normal
13,11.41,82.03408736,Normal
14,11.35,83.32574803,Normal
15,11.28,83.25214968,Normal
16,11.35,82.79645669,Normal
17,11.35,83.16409449,Normal
18,11.35,81.13527559,Normal
19,11.48,83.68842593,Normal
20,11.35,83.35543307,Normal
21,11.35,80.91346457,Normal
22,11.48,83.82330247,Normal
23,11.35,83.44732283,Normal
24,11.35,82.95716535,Normal
25,11.35,82.94480315,Normal
26,11.35,82.76330709,Normal
27,11.35,82.52244094,Normal
28,11.35,82.26338583,Normal
29,11.35,82.7580315,Normal
30,11.41,82.24633385,Normal
31,11.35,82.04409449,Normal
32,11.35,82.88984252,Normal
33,11.35,82.09574803,Normal
34,11.35,81.09228346,Normal
35,11.41,83.00343214,Normal
36,11.35,81.85874016,Normal
37,11.41,82.55951638,Normal
38,11.35,82.31133858,Normal
39,11.28,81.2294586,Normal
40,11.48,79.96257716,Normal
41,11.48,80.95779321,Normal
42,11.41,81.3875975,Normal
43,11.48,82.90902778,Normal
44,11.35,80.7903937,Normal
45,11.41,81.0774571,Normal
46,11.41,82.31911076,Normal
47,11.41,82.75296412,Normal
48,11.35,83.29818898,Normal
49,11.35,81.76503937,Normal
50,11.35,81.08503937,Normal
51,11.54,81.14227829,Normal
52,11.48,80.11265432,Normal
53,11.54,80.11720183,Normal
54,11.54,82.47698777,Normal
55,11.41,81.31528861,Normal
56,11.41,80.17589704,Normal
57,11.54,80.07851682,Normal
58,11.54,79.24059633,Normal
59,11.54,80.53975535,Normal
60,11.48,81.82083333,Normal
61,11.35,82.79716535,Normal
62,11.35,81.09,Normal
63,11.41,81.37925117,Normal
64,11.41,83.81513261,Normal
65,11.28,83.09506369,Normal
66,11.28,81.77890127,Normal
67,11.41,81.75725429,Normal
68,11.41,80.52776911,Normal
69,11.48,82.60416667,Normal
70,11.28,83.08949045,Normal
71,11.35,81.1396063,Normal
72,11.41,81.38213729,Normal
73,11.41,83.15889236,Normal
74,11.41,82.07519501,Normal
75,11.35,82.57,Normal
76,11.35,82.27874016,Normal
77,11.35,83.12409449,Normal
78,11.35,80.02724409,Normal
79,11.48,80.03317901,Normal
80,11.54,82.38211009,Normal
81,11.35,82.92574803,Normal
82,11.41,81.92815913,Normal
83,11.41,81.76918877,Normal
84,11.41,82.31708268,Normal
85,11.41,81.86014041,Normal
86,11.41,81.6874415,Normal
87,11.41,81.27784711,Normal
88,11.48,80.39606481,Normal
89,11.48,77.77415123,Normal
90,11.67,78.40187406,Normal
91,11.67,80.61431784,Normal
92,11.54,78.48922018,Normal
93,11.61,80.4688351,Normal
94,11.54,77.45611621,Normal
95,11.74,77.14488131,Normal
96,11.8,77.00573529,Normal
97,11.74,77.24065282,Normal
98,11.74,79.62878338,Normal
99,11.61,79.19432678,Normal
100,11.61,76.81747352,Normal
101,11.8,78.69139706,Normal
102,11.67,75.47968516,Normal
103,11.8,78.89286765,Normal
104,11.67,75.87001499,Normal
105,11.8,76.82242647,Normal
106,11.8,78.35514706,Normal
107,11.67,76.1505997,Normal
108,11.87,77.36564774,Normal
109,11.74,77.89673591,Normal
110,11.67,78.14535232,Normal
111,11.67,77.95584708,Normal
112,11.67,75.77578711,Normal
113,11.8,76.41294118,Normal
114,11.8,78.28941176,Normal
115,11.67,76.01469265,Normal
116,11.8,78.40845588,Normal
117,11.67,75.8505997,Normal
118,11.87,78.43558952,Normal
119,11.67,78.4071964,Normal
120,11.67,76.98545727,Normal
121,11.8,78.39514706,Normal
122,11.74,77.63227003,Normal
123,11.74,77.17618694,Normal
124,11.8,77.04801471,Normal
125,11.74,75.47707715,Normal
126,11.87,77.21914119,Normal
127,11.74,75.41172107,Normal
128,11.87,78.08260553,Normal
129,11.74,77.60437685,Normal
130,11.74,76.04332344,Normal
131,11.8,78.01161765,Normal
132,11.74,78.02062315,Normal
133,11.74,77.26446588,Normal
134,11.8,77.19463235,Normal
135,11.74,75.43805638,Normal
136,11.87,77.35211063,Normal
137,11.74,78.74391691,Normal
138,11.67,76.10142429,Normal
139,11.87,78.08689956,Normal
140,11.74,77.56520772,Normal
141,11.74,75.98494065,Normal
142,11.8,78.73735294,Normal
143,11.67,76.85397301,Normal
144,11.8,78.56080882,Normal
145,11.67,76.26544228,Normal
146,11.8,78.54683824,Normal
147,11.67,78.84527736,Normal
148,11.61,76.95680787,Normal
149,11.8,78.79544118,Normal
150,11.61,77.0279879,Normal
151,11.8,78.93183824,Normal
152,11.67,78.67023988,Normal
153,11.61,76.39803328,Normal
154,11.87,77.42882096,Normal
155,11.67,78.42226387,Normal
156,11.67,75.55277361,Normal
157,11.87,77.84061135,Normal
158,11.61,76.9677761,Normal
159,11.8,77.87389706,Normal
160,11.61,79.08804841,Normal
161,11.61,76.84750378,Normal
162,11.8,78.32639706,Normal
163,11.61,78.62390318,Normal
164,11.67,76.36236882,Normal
165,11.8,78.86808824,Normal
166,11.61,78.91278366,Normal
167,11.61,79.48229955,Normal
168,11.54,79.34862385,Normal
169,11.67,76.54002999,Normal
170,11.8,78.3325,Normal
171,11.67,77.90929535,Normal
172,11.67,78.80457271,Normal
173,11.61,79.12261725,Normal
174,11.61,79.35007564,Normal
175,11.61,78.90582451,Normal
176,11.67,78.27586207,Normal
177,11.61,79.0871407,Normal
178,11.61,79.50325265,Normal
179,11.61,78.61482602,Normal
180,8.16,39.66566456,Bronch
181,10.5,49.99245455,Bronch
182,13.1,53.47123457,Bronch
183,13.24,59.69538835,Bronch
184,12.58,47.20277045,Bronch
185,13.24,57.34417476,Bronch
186,12.91,54.13716814,Bronch
187,13.17,55.5127907,Bronch
188,12.32,52.11161202,Bronch
189,12.97,60.11693852,Bronch
190,12.97,56.71154329,Bronch
191,12.65,20.38169935,Bronch
192,12.19,79.40577191,Bronch
193,11.61,57.39720121,Bronch
194,11.93,54.28708514,Bronch
195,11.09,40.6726601,Bronch
196,13.1,46.83716049,Bronch
197,10.7,22.59938596,Bronch
198,11.22,53.78504823,Bronch
199,12.97,63.94065245,Bronch
200,13.1,59.60117284,Bronch
201,12.78,64.45771208,Bronch
202,12.32,58.04364754,Bronch
203,12.13,59.27012623,Bronch
204,12,54.13907143,Bronch
205,12.39,53.63227334,Bronch
206,12,55.77335714,Bronch
207,12.71,53.53741894,Bronch
208,11.8,54.5875,Bronch
209,11.22,29.39003215,Bronch
210,9.98,60.72359438,Bronch
211,8.87,20.33940568,Bronch
212,12.97,55.21537014,Bronch
213,13.1,56.40777778,Bronch
214,12.78,58.70816195,Bronch
215,12.84,48.99183673,Bronch
216,12.45,35.07315436,Bronch
217,10.63,38.54387211,Bronch
218,11.41,32.33385335,Bronch
219,9.59,58.49270153,Bronch
220,11.02,56.43313953,Bronch
221,12.58,45.57618734,Bronch
222,11.61,65.04500756,Bronch
223,13.24,58.71098301,Bronch
224,13.04,60.92338308,Bronch
225,13.5,56.16247059,Bronch
226,13.43,63.73244365,Bronch
227,9.07,58.14520885,Bronch
228,11.74,76.57574184,Bronch
229,11.74,78.63382789,Bronch
230,11.67,16.83890555,Bronch
231,13.17,55.88984088,Bronch
232,12.84,25.01345663,Bronch
233,10.44,-3.122794118,Bronch
234,10.18,55.60675676,Bronch
235,12.78,31.56343188,Bronch
236,10.5,15.309,Bronch
237,6.14,-94.40877193,Bronch
238,3.14,103.0879032,Bronch
239,6.86,-73.24865591,Bronch
240,12.97,47.85966123,Bronch
241,12.45,53.57496644,Bronch
242,10.63,34.32024867,Bronch
243,11.41,35.36708268,Bronch
244,11.09,38.30533662,Bronch
245,11.8,45.95455882,Bronch
246,12.13,57.95841515,Bronch
247,12.06,60.48739377,Bronch
248,13.1,60.42012346,Bronch
249,12.65,54.00777778,Bronch
250,13.1,52.73234568,Bronch
251,11.15,33.19170732,Bronch
252,12.26,56.90544077,Bronch
253,12.45,47.61738255,Bronch
254,12.58,57.49980211,Bronch
255,12.06,45.82747875,Bronch
256,12.97,58.03864492,Bronch
257,10.76,8.608854167,Noise
258,6.14,-19.02412281,Noise
259,8.74,51.9776738,Bronch
